customer_id,trans_date,tran_amount
FM5111,2016-05-23,81
FM3137,2017-01-04,67
FM1511,2019-10-25,69
FM2509,2018-11-23,92
FM5994,2018-10-11,42
FM2613,2018-05-25,103
FM1934,2019-05-18,89
FM3127,2016-07-02,39
FM5225,2018-12-18,104
FM1815,2017-08-17,83
FM3552,2019-01-27,102
FM1893,2018-08-17,42
FM3621,2018-07-26,56
FM4330,2018-04-17,59
FM4991,2018-04-20,90
FM2312,2018-07-22,37
FM2359,2017-03-04,90
FM4798,2017-09-06,84
FM2507,2017-03-28,94
FM1430,2019-06-02,71
FM3787,2018-07-23,48
FM4103,2018-01-14,89
FM2881,2017-06-24,54
FM1854,2016-06-29,74
FM2863,2017-09-23,102
FM5292,2018-06-04,64
FM3184,2016-10-07,88
FM2049,2018-07-07,66
FM2832,2018-04-16,105
FM2251,2018-01-12,99
FM5667,2018-11-25,66
FM1327,2016-11-19,38
FM4927,2018-05-12,37
FM2302,2017-06-09,100
FM3901,2017-06-11,82
FM5762,2018-01-21,85
FM2289,2016-12-13,89
FM2867,2016-11-09,56
FM2359,2019-05-10,87
FM5814,2016-09-12,72
FM5129,2016-03-21,102
FM2597,2017-03-03,42
FM5838,2017-06-01,96
FM5800,2017-01-23,86
FM3786,2018-04-16,66
FM3659,2017-02-19,77
FM4400,2016-06-03,97
FM3026,2017-03-03,55
FM3632,2017-11-10,72
FM1452,2016-12-23,79
FM5140,2019-04-11,97
FM5383,2018-09-29,73
FM4695,2018-06-17,48
FM2368,2017-05-10,66
FM2066,2016-04-15,51
FM5277,2016-04-12,90
FM3025,2016-09-30,72
FM4802,2016-03-25,45
FM6001,2018-11-16,63
FM3981,2019-06-20,74
FM3885,2019-01-29,56
FM5546,2017-05-28,79
FM4964,2019-02-20,79
FM4881,2018-10-21,55
FM4103,2018-12-02,40
FM5884,2017-09-19,97
FM2765,2018-01-18,88
FM4438,2019-04-05,72
FM2234,2019-09-21,36
FM3015,2018-10-30,58
FM3755,2019-10-01,45
FM3927,2018-12-25,77
FM5799,2017-08-08,101
FM5708,2016-03-03,89
FM3695,2018-01-20,51
FM1969,2019-07-23,39
FM3854,2019-08-09,104
FM3416,2019-11-23,57
FM1414,2018-09-01,104
FM4732,2017-12-27,96
FM2493,2017-09-29,85
FM5851,2017-10-19,98
FM1678,2019-02-09,48
FM2049,2017-12-19,36
FM3676,2016-06-27,43
FM4853,2016-12-27,68
FM4292,2018-12-04,98
FM3152,2019-09-15,40
FM5640,2018-10-13,77
FM5857,2017-06-26,85
FM1472,2019-01-12,72
FM3888,2016-11-22,70
FM5563,2018-03-23,70
FM5104,2017-06-17,99
FM6109,2018-08-01,92
FM2352,2019-07-06,62
FM4024,2018-11-01,39
FM1499,2016-09-24,91
FM3071,2017-06-15,39
FM5638,2019-09-16,58
FM5533,2018-02-16,73
FM1961,2016-12-29,75
FM1707,2016-06-15,105
FM3692,2019-06-17,48
FM1275,2016-09-28,102
FM4738,2017-12-20,37
FM3732,2016-03-12,83
FM5676,2018-09-16,44
FM4111,2017-04-26,54
FM2074,2019-10-05,79
FM5815,2019-10-03,92
FM5094,2019-12-07,84
FM5431,2017-10-05,55
FM4540,2019-05-13,55
FM1891,2017-12-25,84
FM4389,2017-12-22,70
FM4412,2016-10-07,47
FM1697,2019-04-13,98
FM2720,2017-01-11,72
FM1152,2017-05-04,71
FM3796,2018-06-14,37
FM6066,2018-05-23,66
FM2643,2019-04-20,69
FM6056,2018-12-22,104
FM3489,2017-10-09,76
FM5229,2016-08-23,58
FM4649,2019-09-16,93
FM4372,2019-05-27,71
FM1790,2017-07-04,100
FM1475,2017-05-20,73
FM2452,2019-01-05,77
FM2781,2016-03-02,51
FM5260,2019-06-25,89
FM5155,2016-09-25,100
FM1582,2019-02-24,46
FM4757,2016-05-19,81
FM6039,2018-07-05,104
FM1580,2017-08-18,87
FM3815,2016-04-05,54
FM6063,2018-01-13,104
FM2226,2019-07-29,104
FM5367,2019-10-08,77
FM4581,2018-03-04,95
FM5004,2019-09-21,59
FM2164,2018-05-06,35
FM4590,2019-02-28,79
FM4600,2016-07-03,50
FM2122,2016-11-20,90
FM3060,2017-05-24,59
FM2217,2018-01-19,85
FM4288,2019-01-21,68
FM1568,2018-02-10,104
FM3442,2019-06-16,39
FM4883,2018-09-24,39
FM4911,2016-11-17,75
FM1533,2017-04-25,86
FM3103,2019-02-07,59
FM2185,2016-10-29,46
FM4094,2018-04-24,100
FM4354,2017-09-29,62
FM1939,2017-04-25,46
FM5516,2017-09-04,75
FM5664,2018-08-02,95
FM5068,2019-08-07,41
FM4376,2019-07-13,49
FM5825,2016-07-22,61
FM1871,2016-10-16,64
FM5046,2019-11-06,86
FM1259,2018-03-30,64
FM5664,2016-06-11,58
FM2986,2016-04-20,67
FM5510,2018-06-02,99
FM2845,2017-10-10,73
FM4077,2017-04-22,90
FM3466,2018-08-04,71
FM1508,2018-07-25,101
FM2469,2019-04-19,93
FM2767,2019-10-03,105
FM5790,2016-12-17,58
FM1710,2018-03-10,100
FM2554,2016-07-05,100
FM5283,2019-11-05,63
FM4050,2019-05-28,63
FM5975,2017-06-08,77
FM4227,2017-07-16,74
FM5983,2016-02-20,47
FM2490,2018-09-04,70
FM1696,2017-09-25,51
FM3209,2018-11-25,82
FM2942,2017-10-08,62
FM4981,2016-07-16,93
FM1397,2018-12-26,77
FM1903,2018-01-15,92
FM3754,2018-08-30,77
FM4763,2016-09-12,78
FM4413,2019-10-17,38
FM2333,2016-05-13,99
FM2798,2017-02-28,100
FM5033,2016-09-13,96
FM1420,2019-06-09,99
FM5132,2016-06-14,74
FM3058,2017-06-03,74
FM3692,2018-06-22,42
FM2463,2017-06-29,55
FM5209,2016-08-11,35
FM4581,2018-08-16,53
FM3424,2018-09-02,85
FM3207,2018-03-27,86
FM5763,2017-10-23,56
FM5772,2016-10-18,97
FM3673,2018-01-29,85
FM2887,2016-12-02,100
FM1596,2016-05-28,66
FM4299,2017-03-17,37
FM1492,2018-11-06,82
FM2313,2019-01-10,40
FM5385,2019-01-25,83
FM3441,2018-08-03,43
FM4701,2019-04-26,53
FM1746,2018-03-21,103
FM3276,2018-04-27,65
FM2555,2017-02-20,50
FM2569,2019-01-29,37
FM3426,2019-02-01,67
FM3052,2018-08-17,67
FM1993,2018-05-08,68
FM4908,2019-06-27,78
FM3021,2018-11-10,43
FM4424,2018-02-16,82
FM4841,2018-02-23,74
FM3486,2017-08-19,75
FM2218,2016-07-11,78
FM4779,2017-01-29,53
FM4226,2018-01-19,100
FM1653,2016-05-29,53
FM2533,2016-12-30,99
FM2905,2017-04-29,47
FM5169,2017-10-25,64
FM5142,2017-08-25,64
FM4390,2019-04-02,43
FM5668,2018-11-27,91
FM2896,2017-10-14,71
FM5156,2018-07-02,58
FM4200,2017-05-12,67
FM4391,2019-06-07,67
FM5408,2018-04-22,78
FM6019,2018-07-25,84
FM3981,2017-04-25,40
FM5925,2018-03-20,66
FM3964,2018-08-14,105
FM4688,2018-02-20,101
FM1343,2017-03-02,57
FM6024,2017-07-14,45
FM2816,2016-09-18,84
FM2434,2017-02-20,41
FM6018,2017-02-18,96
FM2072,2017-04-07,63
FM2897,2018-09-03,83
FM1680,2018-07-14,81
FM1638,2018-05-05,84
FM1165,2017-01-12,101
FM4593,2016-10-04,84
FM3414,2016-08-13,46
FM2252,2017-11-28,58
FM3598,2018-04-30,54
FM3642,2019-02-19,62
FM5948,2019-04-10,71
FM5582,2019-02-23,96
FM6107,2016-04-23,70
FM5201,2016-04-02,79
FM1639,2018-02-05,51
FM5884,2017-08-20,52
FM3515,2019-04-07,81
FM2332,2018-05-28,66
FM5628,2019-09-16,94
FM4830,2017-01-13,78
FM1673,2016-10-04,92
FM4993,2016-03-01,86
FM2603,2018-04-01,58
FM1800,2018-08-20,72
FM3911,2017-03-09,83
FM5465,2016-09-05,77
FM2373,2016-12-29,105
FM1241,2017-12-06,104
FM4244,2017-11-15,48
FM5233,2018-03-05,73
FM5405,2018-09-04,87
FM4115,2016-08-30,73
FM4283,2016-09-23,76
FM4420,2019-02-28,93
FM4779,2018-02-08,41
FM2567,2016-04-15,93
FM3629,2019-06-30,68
FM2026,2018-05-25,66
FM4338,2018-04-05,58
FM4142,2017-02-20,100
FM2837,2017-08-10,88
FM1625,2018-08-05,104
FM4873,2017-08-20,83
FM3376,2017-05-28,39
FM4311,2016-11-27,35
FM1396,2017-06-25,86
FM3779,2018-10-29,92
FM1997,2017-07-09,87
FM4540,2017-02-17,72
FM5299,2017-09-22,90
FM2253,2017-08-21,99
FM6066,2018-12-17,102
FM6077,2017-08-22,44
FM3300,2019-09-28,86
FM5922,2016-12-30,95
FM6009,2018-12-13,39
FM5064,2017-11-19,97
FM2399,2019-01-21,77
FM5547,2017-06-27,73
FM5114,2017-06-23,96
FM3908,2016-08-10,83
FM4194,2018-01-24,92
FM5342,2017-07-15,82
FM5425,2017-05-04,90
FM1991,2019-06-29,94
FM2693,2018-05-27,61
FM5076,2019-10-31,63
FM3177,2016-03-08,87
FM2809,2017-03-02,60
FM3864,2018-09-06,56
FM2515,2016-09-11,51
FM4487,2016-05-25,100
FM3108,2016-05-20,87
FM1133,2019-04-28,91
FM5919,2016-12-04,97
FM6067,2017-06-04,44
FM4893,2018-07-24,66
FM5750,2018-12-25,48
FM1445,2016-08-13,88
FM1710,2016-07-26,52
FM1927,2018-09-23,97
FM5719,2016-04-10,40
FM2591,2018-10-29,69
FM2416,2017-11-13,59
FM1347,2017-11-10,74
FM3073,2019-11-13,95
FM3590,2018-07-23,104
FM4099,2019-02-28,67
FM4109,2017-05-21,40
FM6072,2016-09-20,82
FM3266,2017-08-17,51
FM1433,2019-09-22,72
FM5499,2016-03-23,59
FM1533,2017-04-20,85
FM5405,2017-01-21,91
FM4971,2018-02-28,83
FM5461,2016-11-06,47
FM6088,2017-10-27,82
FM1984,2017-06-04,53
FM1184,2017-10-05,102
FM4346,2017-09-09,65
FM5245,2019-07-29,104
FM5402,2016-08-03,84
FM2765,2016-05-29,61
FM5785,2018-03-20,63
FM5767,2018-02-28,82
FM2753,2017-03-17,63
FM2252,2017-06-04,68
FM5488,2017-03-28,53
FM5354,2019-06-23,83
FM1470,2016-11-11,95
FM1155,2016-07-16,75
FM5565,2019-03-04,36
FM6073,2019-11-07,104
FM2817,2019-03-11,43
FM3210,2016-07-29,57
FM4688,2017-07-16,59
FM4663,2017-11-24,95
FM4539,2017-04-28,35
FM2580,2017-04-09,42
FM3983,2017-07-15,103
FM2771,2017-04-02,67
FM3635,2019-11-03,38
FM1415,2016-10-21,73
FM2294,2019-12-04,94
FM1405,2018-06-18,43
FM1582,2018-10-16,85
FM2886,2018-08-09,38
FM2770,2019-08-07,80
FM1140,2019-09-28,61
FM2333,2018-10-25,93
FM4752,2018-01-20,95
FM5687,2016-04-26,89
FM4895,2018-10-11,80
FM2786,2016-08-28,66
FM1927,2017-02-24,63
FM4327,2019-06-26,36
FM1624,2017-12-30,68
FM5490,2019-05-19,36
FM4395,2016-11-26,66
FM3174,2017-10-25,61
FM2011,2018-03-06,85
FM5553,2019-10-07,98
FM3775,2016-11-23,92
FM2885,2017-08-08,55
FM1206,2019-05-11,90
FM4480,2017-02-23,60
FM1488,2019-11-12,65
FM1456,2017-11-08,95
FM4681,2018-11-03,96
FM3170,2017-07-16,85
FM1906,2019-02-18,60
FM5774,2019-11-28,78
FM6063,2016-06-29,77
FM2223,2018-10-17,41
FM1848,2016-06-27,48
FM2366,2019-01-08,39
FM5335,2018-10-13,45
FM2899,2017-07-12,55
FM4219,2018-09-06,59
FM5690,2019-10-19,82
FM3410,2019-06-06,97
FM1337,2019-04-24,103
FM4954,2017-08-02,82
FM4400,2016-05-23,67
FM3652,2019-11-07,64
FM5677,2017-11-28,93
FM4992,2017-07-21,83
FM3569,2019-05-17,61
FM2442,2019-01-30,59
FM4160,2017-02-15,66
FM5996,2016-08-18,69
FM2345,2016-03-14,60
FM2246,2016-05-10,44
FM2928,2018-04-16,67
FM1740,2019-06-28,102
FM2298,2016-06-12,105
FM5283,2017-09-01,63
FM6084,2018-05-15,64
FM3237,2017-10-22,40
FM4913,2019-04-22,53
FM2104,2019-07-25,81
FM4645,2018-09-02,104
FM1128,2019-01-23,105
FM4639,2017-04-27,39
FM4310,2016-06-13,83
FM3182,2017-10-18,48
FM3347,2017-04-23,38
FM4231,2019-11-23,89
FM4171,2019-07-30,53
FM3137,2018-05-03,92
FM1249,2017-02-23,55
FM3455,2016-07-03,98
FM1235,2017-02-28,56
FM4454,2018-05-27,57
FM3180,2018-12-09,65
FM2930,2018-10-16,94
FM3838,2016-12-23,82
FM1883,2019-07-12,57
FM5148,2017-08-19,72
FM4952,2016-08-21,54
FM5724,2016-08-04,85
FM1447,2016-12-19,104
FM1693,2016-10-28,59
FM4341,2018-12-17,87
FM3598,2017-05-08,72
FM5659,2017-05-02,100
FM5367,2019-09-01,41
FM1501,2017-11-27,65
FM2134,2019-04-15,77
FM3407,2019-06-17,62
FM3343,2019-01-03,56
FM3506,2017-12-12,103
FM2244,2018-02-05,86
FM1243,2017-09-04,70
FM3061,2018-09-02,89
FM4884,2019-11-10,78
FM1590,2019-01-09,39
FM3176,2019-04-28,50
FM5638,2019-08-12,68
FM2122,2017-07-21,83
FM2177,2019-10-30,93
FM3074,2016-02-27,61
FM3433,2017-09-20,99
FM3418,2017-12-02,87
FM5821,2017-03-23,70
FM2231,2019-10-08,74
FM5356,2019-01-01,91
FM5803,2019-08-28,96
FM5611,2019-09-29,65
FM5012,2016-09-30,85
FM4967,2018-01-07,98
FM2522,2019-07-06,85
FM2328,2019-11-20,43
FM3530,2018-02-13,88
FM5034,2019-03-01,39
FM5784,2016-08-21,75
FM3581,2016-05-17,93
FM3011,2019-09-14,83
FM4152,2017-11-12,41
FM5757,2018-11-08,56
FM5557,2016-10-23,82
FM3988,2017-01-17,51
FM3396,2016-09-25,87
FM4393,2019-11-10,54
FM4629,2017-09-21,35
FM3821,2018-04-03,73
FM3460,2016-06-19,77
FM4948,2017-11-18,84
FM3786,2016-07-17,71
FM5468,2017-03-08,50
FM1545,2019-06-16,55
FM4960,2018-11-16,77
FM3555,2018-05-05,103
FM4587,2017-07-30,104
FM1228,2016-06-27,57
FM5126,2017-09-22,49
FM1453,2018-12-23,45
FM5938,2017-08-20,61
FM3135,2017-04-30,49
FM4444,2017-12-29,102
FM5348,2019-09-06,64
FM1416,2017-08-27,100
FM5400,2019-02-07,75
FM2313,2017-09-23,59
FM5187,2016-10-28,42
FM3426,2018-01-02,87
FM2309,2016-02-29,60
FM4564,2017-12-29,94
FM3291,2017-09-30,93
FM2607,2017-11-19,50
FM1882,2019-06-23,104
FM2248,2016-05-17,100
FM4082,2019-11-15,49
FM3181,2019-01-27,62
FM2462,2016-11-25,88
FM2336,2018-06-22,86
FM3235,2017-04-02,43
FM2748,2016-10-11,55
FM3668,2017-05-25,86
FM1296,2018-10-14,61
FM5356,2017-07-12,57
FM4079,2017-05-21,68
FM4864,2018-10-06,73
FM2860,2018-02-24,74
FM4851,2018-01-23,94
FM5761,2019-10-28,102
FM6082,2016-12-02,48
FM3702,2016-02-22,45
FM1512,2018-01-01,54
FM4569,2019-04-03,76
FM2419,2019-04-06,95
FM3942,2018-02-21,64
FM4604,2017-01-07,38
FM6056,2017-11-21,98
FM2592,2018-06-08,73
FM5152,2018-12-30,53
FM4282,2016-03-13,46
FM4509,2017-05-21,93
FM2252,2019-06-23,95
FM3367,2018-05-27,98
FM4980,2016-10-25,64
FM3128,2016-06-03,91
FM3331,2018-03-30,99
FM4166,2017-09-30,104
FM5063,2017-03-20,56
FM5971,2018-10-15,94
FM5060,2018-07-02,38
FM5810,2018-01-30,48
FM2860,2016-05-01,78
FM4490,2019-06-12,37
FM5976,2017-04-22,47
FM4775,2017-04-30,86
FM4174,2017-08-20,51
FM5211,2019-10-13,85
FM3450,2017-07-26,80
FM3945,2017-08-17,80
FM2524,2017-01-12,55
FM3379,2019-07-07,101
FM4349,2016-11-05,87
FM2776,2017-08-01,70
FM1839,2018-08-13,77
FM1322,2018-08-25,84
FM3593,2017-02-25,81
FM1981,2016-02-21,71
FM4054,2016-05-16,99
FM4533,2019-10-21,53
FM2896,2016-09-29,80
FM5616,2018-07-12,37
FM3791,2019-04-03,49
FM1951,2016-02-29,73
FM2473,2018-03-16,81
FM5894,2018-05-17,68
FM1633,2017-09-19,62
FM1977,2018-04-01,38
FM6011,2018-11-21,55
FM6044,2018-07-17,36
FM4951,2018-07-30,90
FM2798,2016-05-02,69
FM2197,2017-06-21,70
FM3011,2018-11-03,65
FM1654,2019-09-16,85
FM2424,2018-09-05,101
FM3530,2019-01-20,40
FM1803,2018-04-18,80
FM4627,2019-03-22,50
FM5154,2017-05-05,78
FM3368,2017-09-04,38
FM2435,2018-09-19,86
FM4353,2019-11-07,75
FM5305,2016-12-14,86
FM3539,2018-03-01,64
FM2087,2017-08-29,52
FM5569,2016-05-07,56
FM5038,2019-08-15,75
FM4895,2017-10-21,43
FM2873,2016-09-26,87
FM5184,2017-11-09,51
FM1930,2018-01-19,76
FM4267,2017-02-20,38
FM5109,2019-05-01,91
FM5778,2017-08-25,65
FM3400,2016-12-02,97
FM2578,2018-06-11,47
FM3374,2016-07-25,49
FM1492,2016-06-11,101
FM4121,2017-10-21,50
FM5623,2019-12-01,100
FM5118,2016-11-26,65
FM3838,2019-05-21,42
FM3713,2018-07-01,50
FM3104,2016-03-12,51
FM4964,2017-01-30,86
FM5534,2019-04-20,40
FM4723,2018-10-01,88
FM3353,2019-09-04,94
FM3789,2018-11-13,102
FM4141,2018-11-04,88
FM1626,2017-09-23,38
FM2653,2017-01-07,81
FM5227,2018-10-13,49
FM4299,2018-03-12,36
FM4675,2016-08-02,85
FM1474,2017-02-28,37
FM4892,2017-02-23,60
FM3864,2019-05-03,78
FM4259,2016-11-05,55
FM4674,2019-09-19,75
FM4904,2019-03-15,60
FM1663,2016-12-15,53
FM4527,2017-09-12,99
FM3886,2017-01-10,85
FM6090,2017-06-26,93
FM5633,2016-04-21,54
FM1971,2017-12-09,39
FM2411,2018-06-26,71
FM2168,2019-10-29,65
FM5716,2016-12-19,100
FM3069,2016-09-15,62
FM4123,2017-07-16,60
FM4310,2019-06-29,61
FM1522,2018-01-21,90
FM6085,2018-06-24,65
FM1425,2019-10-04,83
FM1398,2019-05-02,56
FM3410,2016-04-19,69
FM5930,2019-01-15,35
FM3658,2017-02-28,37
FM1743,2019-01-12,73
FM5345,2019-07-07,84
FM4853,2018-11-12,45
FM4654,2019-01-30,83
FM4355,2019-06-30,77
FM1609,2016-11-02,45
FM3857,2018-08-08,53
FM4790,2018-09-24,103
FM3261,2017-04-30,72
FM5896,2017-06-28,78
FM4499,2017-07-19,46
FM2305,2016-03-10,71
FM4363,2019-07-09,102
FM5777,2016-04-29,97
FM4557,2017-06-29,93
FM5019,2017-08-06,67
FM4285,2019-10-27,38
FM5264,2017-11-13,79
FM3960,2017-02-26,48
FM2263,2017-10-05,96
FM2721,2018-06-21,88
FM3317,2018-11-15,41
FM4849,2016-07-03,73
FM2745,2017-03-21,84
FM3373,2017-08-03,88
FM2287,2017-12-21,59
FM5050,2019-12-03,38
FM3925,2016-08-02,35
FM2528,2018-01-16,102
FM2006,2016-04-12,100
FM1257,2017-12-11,89
FM5855,2019-11-26,63
FM3411,2019-11-28,48
FM5566,2016-08-20,79
FM5050,2018-08-02,97
FM3076,2019-02-23,69
FM2898,2017-04-14,62
FM4839,2016-09-29,57
FM5208,2019-11-14,49
FM2148,2018-05-20,97
FM1306,2016-10-21,72
FM4343,2016-10-31,59
FM2699,2018-08-23,64
FM6005,2017-11-16,52
FM2540,2019-05-28,87
FM2934,2018-01-11,77
FM1791,2019-03-04,78
FM5217,2017-03-15,42
FM2329,2018-11-11,67
FM4724,2017-07-29,97
FM1909,2017-05-26,39
FM3421,2017-03-08,41
FM6025,2018-11-20,77
FM4665,2018-09-27,68
FM3708,2018-08-19,77
FM3359,2017-12-13,39
FM5382,2016-07-29,46
FM4703,2016-02-25,53
FM1433,2019-09-20,99
FM3001,2016-03-19,100
FM4924,2019-05-03,56
FM4136,2018-10-07,79
FM4224,2018-02-12,80
FM1332,2017-04-12,59
FM2962,2019-07-25,71
FM1839,2018-11-06,52
FM6025,2016-06-08,88
FM1903,2017-08-23,91
FM3080,2017-12-27,65
FM2967,2017-09-19,97
FM4084,2019-11-11,53
FM3758,2019-01-02,55
FM2376,2019-02-21,58
FM6101,2016-03-25,71
FM4282,2018-06-28,58
FM3595,2017-11-17,81
FM5043,2018-12-22,85
FM3785,2017-02-02,95
FM5370,2019-07-03,61
FM2269,2019-06-24,53
FM2979,2016-06-29,98
FM3678,2017-06-05,78
FM2927,2017-09-30,84
FM4491,2018-12-09,57
FM1844,2016-08-25,97
FM3683,2018-06-14,38
FM5057,2018-09-04,90
FM2384,2018-05-03,69
FM3655,2017-01-29,91
FM3810,2018-05-21,71
FM5241,2017-07-26,83
FM3890,2016-09-22,47
FM3155,2017-08-06,68
FM3160,2016-06-15,78
FM4573,2017-05-03,37
FM1558,2016-10-25,86
FM2243,2016-10-28,92
FM2209,2017-07-09,67
FM5182,2017-04-28,86
FM6085,2019-06-12,87
FM4462,2017-04-08,70
FM2989,2017-04-15,58
FM1683,2018-05-22,82
FM4418,2017-04-23,79
FM3404,2019-06-21,84
FM3052,2016-09-30,92
FM2618,2019-05-10,90
FM5489,2016-10-22,104
FM1396,2017-12-15,53
FM2904,2017-07-19,46
FM3281,2018-06-07,53
FM4026,2019-09-27,91
FM3249,2017-05-09,35
FM2591,2017-02-17,83
FM5420,2019-02-15,43
FM5721,2017-12-27,97
FM5065,2018-10-02,79
FM1826,2018-01-15,95
FM4578,2018-06-05,98
FM1948,2017-12-05,94
FM3930,2018-03-09,41
FM6096,2016-07-30,103
FM3157,2016-12-20,100
FM2232,2017-10-20,97
FM2502,2018-12-04,91
FM1862,2019-04-16,60
FM4054,2018-03-12,80
FM5791,2017-03-27,36
FM5484,2017-08-04,54
FM1938,2018-04-04,53
FM4203,2017-08-20,79
FM5514,2017-05-18,70
FM1549,2017-02-05,88
FM4587,2018-02-19,46
FM1194,2018-12-24,52
FM2787,2016-07-29,45
FM1583,2018-06-16,84
FM2615,2018-01-29,98
FM3163,2017-03-14,40
FM3250,2016-08-21,72
FM2119,2019-09-09,104
FM5983,2019-06-03,38
FM5531,2016-02-17,58
FM1820,2018-07-17,94
FM5131,2018-01-06,91
FM2512,2019-03-07,88
FM2531,2018-12-08,46
FM5620,2018-03-08,55
FM2913,2016-11-13,55
FM4239,2016-11-17,77
